S.No,Radius(m),particle density(kg/m^3),fluid density(kg/m^3),Viscosity(Pa.s),Terminal velocity(m/s),Drag(N),cd,Reynolds,Region,iterations,error
53,0.003,3500.0,1000.0,0.001,0.8856894493103026,0.00277383546502278,0.2501240013343269,5314.1366958618155,Newtons region,20,4.445708909629366e-05
54,0.003,2600.0,1000.0,0.001,0.6783294067382812,0.0017751350428839082,0.27289006278356975,4069.976440429688,Newtons region,20,2.2947351704579884e-05
55,0.003,2267.0,1000.0,0.001,0.5899474791526793,0.0014057132094165148,0.2856982893276235,3539.684874916076,Newtons region,21,2.9238857999765357e-06
56,0.005,7600.0,1000.0,0.001,2.3595776081085202,0.033899415700880044,0.15504715249354628,23595.7760810852,Newtons region,22,4.455996254935116e-05
57,0.005,5323.0,1000.0,0.001,1.8348104295730585,0.022204258096832297,0.16795540360021227,18348.104295730587,Newtons region,20,3.821850436604523e-05
58,0.005,3500.0,1000.0,0.001,1.3247191905975342,0.012841869781986917,0.18634627704432805,13247.191905975342,Newtons region,21,4.748836484771499e-05
59,0.005,2600.0,1000.0,0.001,1.0155963897705078,0.008218427996809791,0.20290211410193973,10155.963897705078,Newtons region,22,2.6300742364393693e-06
60,0.005,2267.0,1000.0,0.001,0.8838083090782165,0.0065082279689404115,0.21217133583937625,8838.083090782166,Newtons region,21,4.262714620483333e-05
61,0.007,7600.0,1000.0,0.001,3.0701265764236445,0.09302685359286701,0.12822709782706904,42981.77206993102,Newtons region,23,2.9151114133500074e-05
62,0.007,5323.0,1000.0,0.001,2.3879071356153494,0.06093226588070187,0.13883421364922963,33430.69989861489,Newtons region,23,2.3846365835957345e-05
63,0.007,3500.0,1000.0,0.001,1.7246206641197206,0.03523678046675398,0.15391930466483522,24144.689297676086,Newtons region,23,1.0304816796843511e-05
64,0.007,2600.0,1000.0,0.001,1.3226994323730468,0.022550676438173715,0.16746393129499135,18517.792053222656,Newtons region,21,2.7966159894525537e-05
65,0.007,2267.0,1000.0,0.001,1.1513149116516113,0.017857684907780086,0.1750334042177826,16118.40876312256,Newtons region,18,7.358752207986389e-06
66,0.01,7600.0,1000.0,0.001,4.056065368652343,0.27120586118237555,0.10494682467230969,81121.30737304685,Newtons region,19,5.713032401207639e-06
